,product_name,price_low,price_high,Bat Cap (kW),Claimed Range (km/charge),Continious Power (W),Gradeability,Kerb Weight (kg),Load Carrying Capacity (kg),Max Torque (N-m),Motor Power (W),No. Of Batteries,Top Speed (kmph),Torque(Motor),Motor Warranty Years,Battery Type,Body Type,Drive Type,Fast Charging,Motor Type,Swappable Battery
19,Hero Electric Photon,86390,86390,1.44,60,,,116,,,1400,,45,,,Li-ion,Electric Bikes,,,,
20,PURE EV EcoDryft,115000,115000,3,80,2000,12,101,140,,3000,,75,40,,Lithium-Ion,"Electric Bikes, Commuter Bikes",Hub Motor,,,
21,One Electric Motorcycles Kridn,135000,135000,3,110,,,,,160,5500,,95,,,Lithium Ion,Electric Bikes,,,,
22,Okinawa R30,61998,61998,1.25,60,250,,,150,,250,,25,,,Lithium-Ion,Electric Bikes,Hub Motor,,BLDC,
23,Okinawa iPraise+,146000,146000,3.3,139,1000,7,,150,,2500,,58,,,Lithium Ion,Electric Bikes,Belt Drive,,BLDC,
24,Hero Electric NYX,73590,86540,2.688,100,,,87,,,1300,,42,,,Lithium-Ion,Electric Bikes,Hub Motor,,,
25,Odysse Electric Evoqis,171000,171000,4.32,,4300,,,170,,3000,,80,64,,Lithium-Ion,Electric Bikes,Hub Motor,,,
26,Kinetic Green Zing,71500,84990,1.68,100,,10,,150,,250,,45,,,Lithium Ion,Electric Bikes,Hub Drive,,BLDC,
27,Ampere Primus,110000,110000,3.8,107,,7,130,150,,4000,,77,,,LFP,Electric Bikes,Mid Mount Motor,,,
28,Kinetic Green Zoom,75100,82500,1.68,100,,10,,150,,250,,40,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
29,Okinawa PraisePro,99645,99645,2,88,1000,7,,150,,2500,,58,,3,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
30,Birla Quanto,69182,101000,2.1,,,,,,,,,,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,Yes
31,Okaya Faast F2T,84999,84999,2.16,85,250,,,,,1200,,70,,,Lithium Ferrous Phosphate,Electric Bikes,Hub Motor,Yes,BLDC,
32,Birla E-Smart,71780,104000,2.1,,,,,,,,,,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,Yes
33,Lohia Oma Star,41444,41444,0.96,60,,,,,,250,,25,,,VRLA,Electric Bikes,Hub Motor,,BLDC,
34,Evolet Dhanno,76999,76999,1.8,100,,7,80,150,,250,,25,,1.5,,Electric Bikes,Hub Motor,,BLDC,
36,Deltic Drixx,58490,84990,1.5808,100,,7,57,,,250,1,25,,1,Lithium Ion,Electric Bikes,,,BLDC,
37,Okinawa Dual 100,79813,79813,2.64,120,250,,,150,,250,,25,,3,,"Electric Bikes, Moped Bikes",Hub Motor,,BLDC,
38,Kabira Mobility KM 4000,137000,137000,4.4,150,8000,19,,,,5000,,120,,,Lithium ion,Electric Bikes,Hub Motor,Yes,BLDC,
40,Rowwet Rame,115000,115000,1.8,,,,,,,2000,,55,,,Lithium Ion,Electric Bikes,Hub Motor,,,
41,Trinity Motors Mitra,73999,79999,1.44,,,10,58,,,250,,25,,,LFP,Electric Bikes,Hub Motor,,,
42,Rowwet Vegatron,125000,125000,2.016,,,,,,,2000,,65,,,Lithium Ion,Electric Bikes,Hub Motor,,,
43,Rowwet Zepop,61770,78500,2.16,,,,,,,2000,,65,,,Lithium Ion,Electric Bikes,Hub Motor,,,
44,Lectrix EV Lectrix LXS,74999,74999,1.92,89,1200,12,,155,12,1900,,50,,,Lithium-Ion,Electric Bikes,,Yes,BLDC,
45,Aeroride Aero,61445,79445,1.8,100,,13,58,200,,,1,,,,Lithium-Ion,Electric Bikes,,,,
46,Benling Believe,97520,97520,3.2,,3000,18,,248,,3200,,75,,,LFP/NCM,Electric Bikes,,,BLDC,Yes
47,Birla Ambition,73817,108000,2.1,,,,,,,,,,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,Yes
48,Atumobile AtumVader,99999,99999,2.3,100,,7,100,,,2700,,65,110,,Lithium Ion,"Electric Bikes, Cafe Racer Bikes",Hub Motor,,BLDC,Yes
49,Komaki XGT X4,102000,124000,2.232,220,,,,,,,,,,,Lithium Ion,Electric Bikes,,,,
50,Tunwal TEM G33,92000,92000,1.2,,,,,,,,,,,,,Electric Bikes,Hub Motor,,BLDC,
51,iVOOMi Eco,71999,81999,2.1,90,,14,70,150,,250,,25,,,Lithium Ion,Electric Bikes,Hub Motor,,,Yes
52,Trinity Motors Rafiki,69999,76999,1.44,75,,10,58.9,200,,,,25,,,Lithium-Ion,Electric Bikes,,,Brand Motor,
53,Wroley Platina,73700,73700,1.8,90,,15,,200,,250,,25,,,Lithium-ion,Electric Bikes,Hub Motor,,BLDC,
54,BGauss D15,99999,113000,3.2,115,1500,10,109,,110,3100,2,60,,,"Primery - Lithium Ion, Secondary - VRLA",Electric Bikes,Hub Motor,Yes,BLDC,Yes
55,Evolet Pony,57999,57999,1.4,80,,9,76,150,,250,,25,,1.5,,Electric Bikes,Hub Motor,,BLDC,
56,Ola S1 Air,84999,84999,2.5,101,4500,15,99,,,,,90,,,,Electric Bikes,Belt Drive,Yes,Mid Drive IPM,
57,Jitendra JET 320,73480,77060,1.56,70,,,67,150,,250,1,25,,3,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,Yes
59,Gemopai Miso,44000,44000,0.84,75,,18,45,120,,250,,35,,,Lithium Ion,"Electric Bikes, Moped Bikes",,,,
60,Tunwal Storm ZX Advance 1,115000,115000,1.56,,,,,,,,,,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
61,EVeium COSMO,144000,144000,2.16,80,,,102,150,,2000,,65,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
62,BGauss B8,84699,89991,1.73,70,1800,11,,130,94.6,1900,,50,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,Yes
63,EVeium COMET,192000,192000,3.6,150,,,115,150,,3000,,85,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
64,Trinity Motors Yaarii,69999,76999,1.44,75,,10,58,200,,,,25,,,LFP,Electric Bikes,,,Brand Motor,
66,Joy e-bike Monster,110000,110000,1.656,75,,,93,,30,250,,25,,,Lithium-Ion (Fixed Type),Electric Bikes,Hub Motor,,DC Brushless,
67,Srivaru Motors Prana,225000,300000,7.2,225,,,165,180,,,,123,,,,"Electric Bikes, Sports Bikes",Hub Motor,,BLDC,
69,Tunwal Storm ZX,90000,90000,1.56,120,,,,,,,,,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
70,Fidato Evtech 21,89199,89199,2.16,110,,,,200,,,,,,,Lithium-Ion,Electric Bikes,Hub Motor,,Brushless DC,
72,Tunwal Sport 63 Mini,49990,49990,1.248,70,,,,,,,,,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
73,Detel EV Easy Plus,46999,46999,1.44,60,,,,170,,250,,25,,1,Lithium Ion,"Electric Bikes, Moped Bikes",Hub Motor,,,
76,Tunwal Mini Lithino,54990,54990,1.248,70,,,,,,,,,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
77,GT One Plus,68982,86970,1.56,65,,9,98,150,,250,1,25,,1.5,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
78,Fidato Evtech Future 2020,70300,70300,1.68,80,,,,180,,,,,,,Lithium-Ion,Electric Bikes,Hub Motor,,Brushless DC,
79,GT Flying,54338,77763,1.56,65,,9,82,130,,,,,,1.5,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
80,Birla A 1-4,160000,228000,,,,,,,,,,,,,Lithium Ion,Electric Bikes,,,,
81,Komaki DT 3000,121000,121000,3.312,160,,,,,,,,,,,Lithium Ion,Electric Bikes,,,,
82,GT Prime,57417,77763,1.56,65,,9,85,,,,,,,1.5,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
83,AMO Electric Inspirer,57626,86626,2.04,90,,18,62,,,249,,25,,,Lithium Ion,Electric Bikes,,Yes,Brushless DC,
85,Kabira Mobility Kollegio Plus,65490,65490,2.1,110,,,,,,250,,24,,1,Lithium Ion,Electric Bikes,Hub Motor,Yes,BLDC,
86,Aeroride E-Spark,69445,112000,1.8,,,,58,,,,2,,,,Lithium-Ion,Electric Bikes,,,,
87,AMO Electric Jaunty Plus,74460,74460,2.4,120,,18,82,,,1265,,50,,,Lithium Ion,Electric Bikes,,Yes,Brushless DC,
88,Li-ions Elektrik Solutions Li-ions Spock Electric Scooter,65000,65000,2.88,130,,,90,160,230,2000,,45,,,Lithium ion,Electric Bikes,Hub Motor,,BLDC,
89,GT Soul,52861,75350,1.56,65,,9,95,130,,,,,,1.5,Ltthium Ion,Electric Bikes,Hub Drive,,BLDC,
90,AMO Electric Jaunty,65064,90064,2.04,90,,,62,,,249,,25,,,Lithium Ion,Electric Bikes,Hub Motor,Yes,Brushless DC,
91,Rowwet Trono,181000,181000,2.88,,,,,,,3000,,100,,,Lithium Ion,"Electric Bikes, Sports Bikes",Hub Motor,,,
93,Thunderbolt EZ,57999,57999,1.5,90,,,,,,,,,,,Lithium-Ion,Electric Bikes,Hub Motor,,,
94,Kabira Mobility Kollegio,45990,45990,1.152,100,,,,,,250,,24,,1,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
95,Raftaar Bumblebee,88000,88000,1.92,100,,25,,,,250,,,,,LFP,Electric Bikes,Hub Motor,,BLDC,Yes
96,Zelio Eeva,54575,57475,2.4,120,,,118,150,,,,,,,Lithium Ion,Electric Bikes,,,,
97,Poise Grace,87542,93465,2.52,140,,,,,,800,,50,,,Lithium Ion,Electric Bikes,Hub Motor,,,Yes
98,Odysse Electric Racer,85000,85000,2.016,70,,,,150,,1200,,45,,,Maintenance Free,Electric Bikes,Hub Motor,,,
99,NDS ECO MOTORS Lio Plus,124000,124000,1.512,165,,,100,,152.78,1600,2,55,152.78,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
100,Numeros Motors Diplos,60265,128000,3.8,100,1500,14,135,102,,2700,2,65,,,NMC,Electric Bikes,,Yes,Hub Motor,Yes
101,iVOOMi S1,84999,84999,2.1,115,,18,78,180,,2000,,55,,,Lithium Ion,Electric Bikes,Hub Motor,,,Yes
102,Rowwet Eleq,116000,116000,2.16,,,,,,,2000,,65,,,Lithium Ion,Electric Bikes,Hub Motor,,,
103,Velev Motors VIO,52000,52000,0.96,70,,,,,,250,,25,,,,Electric Bikes,Hub Motor,,BLDC,
104,Komaki LY,95866,95866,2.108,85,,,,,,,,,,,Lithium Ion,Electric Bikes,Hub Motor,,,
105,Merico Fashia,61311,61311,,,,12,58.6,150,,250,,,,,VRLA,Electric Bikes,Hub Motor,,BLDC,
106,Benling Aura,94296,94296,2.88,120,3000,18,,248,,3200,,65,,,LFP/NCM,Electric Bikes,Hub Drive,Yes,BLDC,Yes
107,Kabira Mobility Aetos 100,65490,65490,2.1,110,,,,,,250,,24,,1,Lithium Ion,Electric Bikes,Hub Motor,Yes,BLDC,
109,Avon E Mate,45000,45000,0.96,65,,,,120,,188,,18,,,VRLA,Electric Bikes,Hub Motor,,BLDC,
110,EVeium CZAR,216000,216000,3.024,150,,,115,150,,4000,,85,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
111,Deltic Trento,127000,127000,2.592,75,3000,10,85,,,1800,1,45,,1,Lithium-Ion,Electric Bikes,,,BLDC,
112,Stella Automobili BUZZ,95000,95000,2.16,90,,,,150,,2000,,55,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
113,Raftaar Galaxy,51900,51900,1.92,100,,25,,,,250,,,,,LFP,Electric Bikes,Hub Motor,,BLDC,Yes
114,Tunwal Elektrika 60,65040,65040,1.56,70,,,,,,,,,,,Lithium Ion,"Electric Bikes, Moped Bikes",Hub Motor,,BLDC,
115,Avon E Star,60000,60000,1.584,65,,,,120,,1000,,50,,,Lead Acid,Electric Bikes,Hub Motor,,BLDC,
117,DAO 703,99999,99999,1.8,100,,13,85,150,,3500,,70,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
118,RBSeVA Legend,77230,77230,1.8,100,,,,,,,,,,,Lithium Ion,Electric Bikes,Hub Motor,,,
119,Shema Tuff,70500,70500,1.2,75,,10,,150,,250,,25,,,Lithium Ion,"Electric Bikes, Moped Bikes",Hub Motor,,,
120,Birla DMS,163000,231000,,,,,,,,,,,,,Lithium Ion,Electric Bikes,,,,
121,Trinity Motors Saathi,85999,93999,1.44,,,10,58,,,250,,25,,,LFP,"Electric Bikes, Moped Bikes",Hub Motor,,,
122,Shema Fly,61000,61000,1.2,75,,10,,150,,250,,25,,,Lithium Ion,Electric Bikes,Hub Motor,,,
123,DAO Zor 405,77349,77349,1.2,70,,13,80,250,,2100,,45,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
125,M2GO X1,111000,111000,1.56,120,,,,180,,2020,,50,,,Lithium-Ion,Electric Bikes,Hub Motor,,,
126,Odysse Electric E2Go,59750,71100,1.68,60,,,,,,250,,25,,,Lithium-Ion,Electric Bikes,Hub Motor,,BLDC,
127,GT One,62850,85945,1.56,65,,9,88,140,,,,,,1.5,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
128,Joy e-bike Wolf,79900,79900,1.38,60,,,67,140,,250,,25,,,Lithium-Ion,Electric Bikes,Hub Motor,Yes,BLDC,
129,Benling Kriti,64151,64151,1.344,60,1200,8,66,248,,250,,25,,,Lithium-ion,Electric Bikes,Hub Motor,,Brushless Motor,Yes
130,Okaya Faast F2B,91999,91999,2.16,85,1200,,,,,2500,1,70,,3,Lithium Ferrous Phosphate,Electric Bikes,,Yes,BLDC,Yes
131,Kabira Mobility Intercity Aeolus,71490,71490,2.1,110,,,,,,250,,24,,1,Lithium-Ion,Electric Bikes,Hub Motor,Yes,BLDC,
132,Ujaas eGo LA,34880,39880,1.56,75,,,,,,250,,,,,Lead Acid,Electric Bikes,Hub Motor,,,
133,RBSeVA Rider New,70750,70750,1.44,80,,,,,,,,,,,Lithium Ion,Electric Bikes,Hub Motor,,,
134,Fidato Evtech EasyGo Plus,95605,95605,1.8,110,,,,200,,,,,,,Lithium-Ion,Electric Bikes,Hub Motor,,Brushless DC,
135,Shema Zoom,67000,67000,1.2,75,,10,,150,,250,,25,,,Lithium Ion,Electric Bikes,,,,
136,EeVe Atreo,68999,68999,1.944,85,,,101,140,,250,,25,,,Lead Acid,Electric Bikes,Hub Motor,,BLDC,
137,EeVe Ahava,62499,62499,1.62,70,,,94,140,,250,,25,,,Lead Acid,Electric Bikes,Hub Motor,,BLDC,Yes
139,Birla DMG,237000,305000,,,,,,,,,,,,,Lithium Ion,Electric Bikes,,,,
140,Velev Motors VEV 01,32500,32500,1.152,80,,,34,100,,250,,25,,,Sealed Lead Acid,Electric Bikes,Hub Motor,,BLDC,
141,SUPER ECO Super Eco T1,56772,56772,1.26,80,,,,,,800,,55,,,Lithium-ion,Electric Bikes,Hub Motor,,,
142,Omega Seiki Mobility Omega Sharq,75600,75600,1.74,95,,16,,,,250,,25,,1,Lithium-Ion,Electric Bikes,,,BLDC Hub Motor,
143,One Moto Commuta,130000,130000,1.65,80,,,102,150,,2000,,55,,,Lithium-Ion,Electric Bikes,Hub Motor,,Brushless DC,
144,Shema Eagle,71000,102000,1.59744,160,,10,,150,,250,2,25,,,Lithium Ion,Electric Bikes,Hub Motor,,,
145,Birla JF,163000,231000,,,,,,,,,,,,,Lithium Ion,Electric Bikes,,,,
146,Earth Energy EV Evolve Z,130000,130000,,100,,15,,,56,,,95,,,Lithium Ion,"Electric Bikes, Sports Bikes",Chain Drive,Yes,,
147,Cyborg Bob-e,94999,94999,2.88,110,,,,150,,8500,,85,,3,BMS Battery,Electric Bikes,Hub Drive,,BLDC,
148,Hero Electric Atria,77690,77690,1.536,85,,,,,,250,,25,,,Li-ion,Electric Bikes,Hub Motor,,,
149,Jitendra JMT 1000 3K,84417,84417,3.12,126,,7,90,150,,1000,2,51.93,,3,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,Yes
150,Crayon Zeez,48000,58000,,,,,,150,,250,,25,,,Lithium-ion,Electric Bikes,Hub Motor,,BLDC,
153,BattRE Electric gps:ie,73900,73900,1.152,65,,,60,,,,,,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
154,Benling Falcon,69540,69540,1.8,75,,8,,248,,250,,25,,,Lithium-ion,Electric Bikes,Hub Motor,,BLDC,Yes
155,Ujaas eGo Li,50880,53880,1.56,75,,,,,,250,,,,,Lithium Ion,Electric Bikes,Hub Motor,,,
156,GT Drive Plus,103000,103000,2.52,110,,15,88,160,,1200,1,60,,3,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
157,BattRE Electric Storie,89600,89600,3.1,132,,,,,,,,,,,,Electric Bikes,,,,
158,Gemopai Ryder,60000,84302,1.92,120,,15,,150,,250,,25,,,Lithium-ion,Electric Bikes,,,Brushless Motor,Yes
159,Viertric Mist,72000,72000,1.248,70,,,,200,,250,,57,,1,Lithium Ion,Electric Bikes,,,BLDC,
160,Okaya Faast F2F,83999,83999,2.16,80,,,,,,800,1,55,,,LFP,Electric Bikes,Hub Motor,Yes,BLDC,
161,Birla Electro,76109,110000,2.1,,,,,,,,,,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,Yes
162,Birla V6,160000,228000,,,,,,,,,,,,,Lithium Ion,Electric Bikes,,,,
163,Komaki XGT CAT 2.0,96207,102000,2.232,100,,,,350,,,,,,,Lithium Ion,"Electric Bikes, Moped Bikes",,,,
164,Deltic Legion,62490,88990,1.824,100,,7,59,,,250,1,25,,1,Lithium-Ion,Electric Bikes,Hub Motor,,BLDC,
165,Thunderbolt Electra,79999,79999,1.9,120,,,,150,,,,55,,,Lithium-Ion,Electric Bikes,,,,
166,Gemopai Ryder SuperMax,79999,79999,1.8,100,1600,20,80,150,,2700,,60,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,Yes
168,Evolet Polo,69999,69999,1.5,100,,9,76,150,,250,,25,,1.5,,Electric Bikes,Hub Motor,,BLDC,
169,Ola S1 Pro,105000,105000,4,181,5500,15,125,,,8500,,116,58,,,Electric Bikes,Belt Drive,Yes,Mid Drive IPM,
170,Okaya Freedum,74900,74900,1.4,75,250,7,,,,250,2,25,,3,Lithium Ion,Electric Bikes,Hub Motor,Yes,BLDC,Yes
171,Ampere Zeal EX,75000,75000,2.2,120,1200,,80,150,,1800,,50,19,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
172,GRP EV 11 Mini,74500,74500,1.5,70,,,75,,,250,,,,,LITHIUM ION,Electric Bikes,Hub Drive,,,
173,Birla Spark,69182,101000,,,,,,,,,,,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,Yes
174,GRP EV 11 Maxx,82000,82000,1.92,100,,,80,,,250,,,,,LITHIUM ION,Electric Bikes,Hub Drive,,,
176,Fidato Evtech Loder,83490,83490,1.44,70,,,,180,,,,,,,Lithium-Ion,"Electric Bikes, Moped Bikes",Hub Motor,,Brushless DC,
177,Hero Electric Eddy,72000,72000,1.536,85,,,60,,,250,,25,,,Lithium-ion,Electric Bikes,Hub Motor,,BLDC,
178,Zelio Gracy i,56825,59755,2.4,60,,,118,150,,,,,,,Lithium Ion,Electric Bikes,,,,
179,Zelio Gracy,56675,59755,2.4,60,,,118,150,,,,,,,Lithium Ion,Electric Bikes,,,,
180,Joy e-bike Gen Next Nanu Plus,112000,112000,2.184,100,,7,85,150,,1500,,55,,,Lithium-Ion,Electric Bikes,Hub Motor,,Brushless DC,
181,Joy e-bike Wolf Plus,116000,116000,2.124,100,,7,85,150,,1500,,55,,,Lithium-Ion,Electric Bikes,Hub Motor,,Brushless DC,
182,Kabira Hermes 75,89600,89600,2.4,120,4000,,,,,2500,,,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
183,GRP EV 11 Pro,84000,84000,1.92,100,,,75,,,250,,,,,LITHIUM ION,Electric Bikes,Hub Drive,,,
184,Kabira Mobility Kollegio Neo,55790,55790,1.152,100,,,,,,250,,24,,1,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
