,product_name,price,price_low,price_high,0-100 Kmph (sec),0-40 Kmph (sec),ABS,ARAI Mileage,Acceleration (0-100 Kmph),Additional Features,Additional Features Of Variant,Additional Storage,Adjustable Windscreen,Anti Theft Alarm,Artificial Exhaust Sound System,Battery Capacity,Battery Type,Battery Warranty,Bluetooth Connectivity,Body Graphics,Body Type,Boot Space,Brakes Front,Brakes Rear,Braking (60-0 Kmph),Braking Type,Call/SMS Alerts,Carry Hook,Carry hook,Central Locking,Charger Output,Charging At Charging Station,Charging At Home,Charging Network / Battery Swapping Network,Charging Point,Charging Station Locater,Charging Time(0-100%),Charging Time(0-80%),Claimed Range,Clock,Continious Power,Continuous Power,Cooling System,Cruise Control,DRLs,Display,Distance to Empty Indicator,Drive Type,Dry Weight,EBS,Electricity Consumed On Full Charge,Engine Kill Switch,External Speakers,Fast Charging,Fast Charging Time,Frame,Front Brake Diameter,Front Tyre Pressure (Rider),Fuel Gauge,Gear Box,Geo Fencing,Gradeability,Ground Clearance,Headlight,Height,Ignition,Instrument Console,Internet Connectivity,Kerb Weight,Keyless Ignition,LED Tail Lights,Length,Load Carrying Capacity,Low Battery Indicator,Max Torque,Mobile Application,Motor IP Rating,Motor Power (w),Motor Type,Motor Warranty,Music Control,Navigation,No. Of Batteries,OTA,Odometer,Operating System,Paddle,Pass Switch,Passenger Backrest,Passenger Footrest,Peak Power,Power Modes,Processor,Projector Headlights,Radial Tyre,Range (Eco Mode),Range (Normal Mode),Range (Sport Mode),Real Time Mileage Indicator,Rear Brake Diameter,Rear Tyre Pressure (Rider),Regenerative Braking,Removable Battery Weight,Reverse Assist,Riding Modes,Roadside Assistance,Saddle Height,Scooter Speed,Seat Type,Service Due Indicator,Speedometer,Starting,Stepup Seat,Suspension Front,Suspension Rear,Swappable Battery,Tachometer,Tail Light,Techometer,Top Speed,Torque (Motor),Torque (Wheel),Total Weight,Transmission,Tripmeter,Tubeless Tyre,Turn Signal Lamp,Tyre Size,USB Charging Port,Underseat storage,Water Proof Rating,Wheel Size,Wheelbase,Wheels Type,Width
34,Evolet Dhanno,"Rs.76,999*",76999.0,76999.0,,,,,,E-ABS,E-ABS,,,,,1.8 Kwh,,3 Years,,,Electric Bikes,,Disc,Disc,,,,,,Yes,,,,,Yes,,,,80-100 km/charge,,,,,,,,,Hub Motor,,Yes,,,,,,,,,,,,7°,180 mm,Halogen,,,,,80 kg,,Yes,2050 mm,150 kg,Yes,,Yes,,250,BLDC,1 Year 6 Months,,,,,Digital,,,Yes,,Yes,,,,,,,,,,,,,,,,,750 mm,,Single,,Digital,Self Start Only,,Hydraulic Telescopic,Dauble shocker whith dual tube technology,,,Bulb,,25 kmph,,,,,Digital,Tubeless,Bulb,"Front :-90/100-10,	Rear :-90/100-10",Yes,,,"Front :-254 mm,Rear :-254 mm",,Alloy,800 mm
35,Komaki Flora,"Rs.78,999*",78999.0,78999.0,,,,,,"Vibrant Dashboard, Self-Diagnostic Meter, Additional Backrest, parking, Gear Mode","Vibrant Dashboard, Self-Diagnostic Meter, Additional Backrest, parking, Gear Mode",Yes,,,,,LIPO4,,,,Electric Bikes,,Disc,Drum,,,,,,,,,,,,,,,75-100 Km/charge,,,,,Yes,,Yes,,Hub Motor,,Yes,,,,,,Highly Resistant Steel,270x3 5mm,,,,,,,LED,1108 mm,,Digital,,,,,1890 mm,,,,,,3000,"Interior Permanent Magnet, Brushless Motor",,,,,,Digital,,,,,Yes,,,,,,,,,,,,,,,,,,high,Single,,Digital,Push Button Start,,,,,,LED,,,,,,Automatic,Digital,Tubeless,LED,Front :-90/100-10	Rear :-90/100-10,,Yes,,"Front :-254 mm,Rear :-254 mm",1295 mm,,705 mm
36,Deltic Drixx,"Rs.58,490 - 84,990*",58490.0,84990.0,,,,,,"Find My Scooter Function,Reverse Motion Switch, LED Rear Winkers, Bettery Weight - 35 Kg, Keyless Start & Stop","Find My Scooter Function,Reverse Motion Switch, LED Rear Winkers, Bettery Weight - 35 Kg, Keyless Start & Stop",,,Yes,,60.8 V / 26 Ah,Lithium Ion,3 Years,,,Electric Bikes,,Drum,Drum,,Combi Brake System,,,,Yes,60 V / 4 A Micro Charger With Auto Cut,,,,,,,,70 - 100 km/charge,,,,,,Yes,Yes,,,,,,,,,,M.S Heavy Duty Chassis (Tubular),190 mm,,,,,7°,190 mm,LED,1100 mm,,Digital,,57 kg,,,1850 mm,,,,,,250,BLDC,1 Years,,,1,,,,,,,,,,,,,,,,,190 mm,,,,Yes,,,,,Single,,Digital,"Remote Start,Push Button Start",,Hydraulic (Telescopic Type),Hydraulic Spring (Monoshock),,,LED,,25 kmph,,,,Automatic,Digital,,LED,"Front :-3-10,	Rear :-3-10 - 18",Yes,,,"Front :-254 mm,Rear :-254 mm",,Alloy Wheel,700 mm
37,Okinawa Dual 100,"Rs.79,813*",79813.0,79813.0,,,,,,"Detachable Battery with Locking mechanism, E-ABS, ARAI/ICAT Approved, Micro- Charger with Auto Cut Function, Brake Lever - Aluminium Alloy","Detachable Battery with Locking mechanism, E-ABS, ARAI/ICAT Approved, Micro- Charger with Auto Cut Function, Brake Lever - Aluminium Alloy",,,,,48 V / 55 Ah,,3 year,,,"Electric Bikes, Moped Bikes",,Disc,Drum,,,,Yes,Yes,,,,,,Yes,,,,110 -120 Km/Charge,,250,250,,,Yes,LCD,,Hub Motor,,Yes,,,,,,,,,,,,,150 mm,LED,1075 mm,,Digital,,,,,1770 mm,150 kg,,,,,250,BLDC,3 Years or 30000 km,,,,,,,,,,Yes,,,,,,,60 km/charge,,,,,,,,,,730 mm,,Split,,Digital,Push Button Start,,Telescopic Suspension,Dual Tube Spring type hydraulic shockers,,,LED,,25 kmph,,,,Automatic,Digital,,LED,"Front :- 3.0 - 10, 	Rear :- 3.0 - 10",,,,"Front :-254 mm,Rear :-254 mm",1290 mm,Alloy,800 mm
38,Kabira Mobility KM 4000,Rs.1.37 Lakh*,137000.0,137000.0,,3.1s,,,,,,,,,,4.4 kWh,Lithium ion,,,,Electric Bikes,,Double Disc,Disc,,Combi Brake System,,,,,,No,No,,Yes,,6 Hours 30 min,2 Hours 50 min,150 km/charge,Yes,8000 W,8000 W,,,,,,Hub Motor,,,,,,Yes,0-80 %  50 min,,,,,,,19°,200 mm,LED,1280 mm,,Digital,,,,,2050 mm,,,,Yes,IP67,5000,BLDC,,,,,,,,,,,,,,,,,150 km/charge,110 km/charge,90 km/charge,,,,,,,,,800 mm,,Split,,Digital,Push Button Start,,,,,,LED,,120 kmph,,,,Automatic,Digital,Tubeless,LED,,,,IP65,,1500 mm,Alloy,740 mm
39,Komaki XGT KM,"Rs.42,500 - 93,045*",42500.0,93045.0,,,,,,"Eeregency Repair Switch, BIS Wheels Enhance Stability, Wireless Updates Features, Self Diagnosis, VIVID Smart Dash, Anti Theft Lock, Multiple Sensors, Advance Lithium Technology","Eeregency Repair Switch, BIS Wheels Enhance Stability, Wireless Updates Features, Self Diagnosis, VIVID Smart Dash, Anti Theft Lock, Multiple Sensors, Advance Lithium Technology",Yes,,Yes,,,Lithium-Ion,,,,Electric Bikes,,,,,Synchronized Braking System,,,,,,,,,,,,,130 - 150km/charge,Yes,,,,,,Yes,,Hub Motor,,,,,,,,,,,,,,,,LED,,,,,,,,,,Yes,,,,,,,,,,,Digital,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,Single,,Digital,Self Start Only,,Telescopic Shock Absorber,Hydraulic Shock Absorber,,,LED,,,,,,Automatic,Digital,Tubeless,LED,,,Yes,,,,,
40,Rowwet Rame,Rs.1.15 Lakh*,114999.99999999999,114999.99999999999,,,,,,,,,,,,60 V / 30 Ah,Lithium Ion,,,,Electric Bikes,,Disc,Disc,,,,,,,,,,,,,,,,,,,,,,Yes,,Hub Motor,,,,,,,,,,,,,,,,LED,,,Digital,,,,,,,,,,,2000,,,,,,,Digital,,,,,,,,,,,145 km/charge,125 km/charge,,,,,,,,,,,,Single,,Digital,Push Button Start,,,,,,LED,,55 kmph,,,,,Digital,Tubeless,LED,,Yes,,,,,Alloy,
41,Trinity Motors Mitra,"Rs.73,999 - 79,999*",73999.0,79999.0,,,,,,"Controller - 12 tube, One key repair","Controller - 12 tube, One key repair",,,,,48 V / 30 ah,LFP,,,,Electric Bikes,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,Hub Motor,,,,,,,,,,,,,,10 degree,,LED,,,Digital,,58 kg,,,,,Yes,,,,250,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,Single,,Digital,Push Button Start,,,,,,LED,,25 kmph,,,,,,Tubeless,LED,,,,,,,Alloy,
42,Rowwet Vegatron,Rs.1.25 Lakh*,125000.0,125000.0,,,,,,,,,,,,72 V / 28 Ah,Lithium Ion,,,,Electric Bikes,,Disc,Disc,,,,,,,,,,,,,,,,,,,,,,Yes,,Hub Motor,,,,,,,,,,,,,,,,LED,,,Digital,,,,,,,,,,,2000,,,,,,,Digital,,,,,,,,,,,145 km/charge,120 km/charge,,,,,,,,,,,,Single,,Digital,Push Button Start,,,,,,LED,,65 kmph,,,,,Digital,Tubeless,LED,,Yes,,,,,Alloy,
43,Rowwet Zepop,"Rs.61,770 - 78,500*",61770.0,78500.0,,,,,,,,,,,,72 V / 30 Ah,Lithium Ion,,,,Electric Bikes,,Disc,Disc,,,,,,,,,,,,,,,,,,,,,,Yes,,Hub Motor,,,,,,,,,,,,,,,,LED,,,Digital,,,,,,,,,,,2000,,,,,,,Digital,,,,,,,,,,,145 km/charge,120 km/charge,,,,,,,,,,,,Single,,Digital,Push Button Start,,,,,,LED,,65 kmph,,,,,Digital,Tubeless,LED,,Yes,,,,,Alloy,
44,Lectrix EV Lectrix LXS,"Rs.74,999*",74999.0,74999.0,,,,,,"0-25 kmph In 5 secs, Displays the Vehicle Health & Battery Condition, Last Ride & Service History, Immobilization, Battery Icon, Live Location of the Vehicle, Charging Station Tracker","0-25 kmph In 5 secs, Displays the Vehicle Health & Battery Condition, Last Ride & Service History, Immobilization, Battery Icon, Live Location of the Vehicle, Charging Station Tracker",,,Yes,,48 V / 40 Ah,Lithium-Ion,,Bluetooth,,Electric Bikes,,Drum,Drum,,Combi Brake System,,,,,360 W and 720 W,,,,,,,,89 km/charge,,1200 W,1200 W,,,,,Yes,,70 kg,,,,,Yes,2.5 - 3 Hours,,,,,,,12 Degree,160 mm,Halogen,1260 mm,Yes,Digital,,,,,1870 mm,155 kg,Yes,12 Nm,Yes,,1900,BLDC,,,,,,Digital,,,,,,,,,,,75 km/charge,,60 km/charge,,,,,12.5 kg,,,,760 mm,,,Yes,Digital,Push Button Start,,Telescopic,Coil Spring,,,Bulb,,50 kmph,,,,,Digital,Tubeless,Bulb,Front :-90/100-10	Rear :-110/90-10,,,,"Front :-254 mm,Rear :-254 mm",1330 mm,Sheet Metal,710 mm
45,Aeroride Aero,"Rs.61,445 - 79,445*",61445.0,79445.0,,,,,,Parking Switch,Parking Switch,,,Yes,,60 V / 30 Ah,Lithium-Ion,,,,Electric Bikes,,Disc,Disc,,,,,,,,,,,,,,,60-100 km/charge,,,,,,Yes,Yes,,,,,,,,,,,,,,3 Forward & 1 Reverse,,13 Degree,150 mm,LED,1180 mm,,Digital,,58 Without Battery,,,1850 mm,200 kg,,,,,,,,,,1,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,800 mm,,Single,,Digital,Push Button Start,,Telescopic,Hydraulic,,,LED,,,,,,Automatic,,Tubeless,LED,Front :-90/100 - 10	Rear :-90/100 - 10,Yes,,,"Front :-254 mm,Rear :-254 mm",,Alloy,720 mm
46,Benling Believe,"Rs.97,520*",97520.0,97520.0,,5.5s,,,,"Parking Assist, Smart Break Down Assist","Parking Assist, Smart Break Down Assist",,,Yes,,3.2 Kwh,LFP/NCM,36 Month (50000 km),,,Electric Bikes,,Disc,Disc,,,,,,,,,,,,,,,,,3000,3000,,,,,,,,,,,,,,,,,,,,18 Degree,160 mm,LED,1140 mm,,Digital,,,,,1800 mm,248kg,,,,,3200,BLDC,,,,,,,,,,,Yes,,,,,,120 km/charge,,70-75 km/charge,,,,,,,Yes,,,,Split,,Digital,"Remote Start,Push Button Start",,Telescopic,Telescopic,Yes,,LED,,75 kmph,,,,Automatic,Digital,Tubeless,LED,Front :-90/90-12	Rear :-90/90-12,Yes,,,"Front :-304.8 mm,Rear :-304.8 mm",1420 mm,Alloy,690 mm
47,Birla Ambition,"Rs.73,817 - 1.08 Lakh*",73817.0,108000.0,,,,,,ICAT Approval - Yes,ICAT Approval - Yes,Yes,,Yes,,35 Ah,Lithium Ion,,,,Electric Bikes,Yes,Disc,Disc,,,,,,Yes,5 Amp,,,,,,,,,,,,,,,,,Hub Motor,,,,,,,,Iron,,,,,,,,LED,,,Digital,,,,,1720 mm,,,,,,,BLDC,,,,,,Digital,,,,,Yes,,,,,,,,,,,,,,,,,,,Split,,Digital,Push Button Start,,Hydraulic,Shock Absorption,Yes,,LED,,,,,,Automatic,Digital,Tubeless,LED,Front :-3.00-10	Rear :-3.00-10,Yes,Yes,,"Front :-254 mm,Rear :-254 mm",,Alloy,480 mm
48,Atumobile AtumVader,"Rs.99,999*",99999.0,99999.0,,,,,,"Speed Modes - (3 - L,M,H ), Kill Switch, Combination Switch, Brake Lever cut-off Switch, Charger cut-off sensor","Speed Modes - (3 - L,M,H ), Kill Switch, Combination Switch, Brake Lever cut-off Switch, Charger cut-off sensor",25 L,,,,2.3 kwh,Lithium Ion,,,,"Electric Bikes, Cafe Racer Bikes",,Drum,Drum,,Combi Brake System,,,,,12 AMP,,,,Yes,,,,100 km/charge,,,,Air Cooled,,,Yes,,Hub Motor,,Yes,,,,,,,,28 psi,,,,7 Degree,230 mm,Halogen With AHO,1030 mm,,,,100 kg,,,2020 mm,,Yes,,,,2700,BLDC,,,,,,Digital,,,,,,,,,,,100 km/charge,82 km/charge,,,,33 psi,,,,Yes,,809 mm,,Single,,Digital,Push Button Start,,"Telescopic, 31mm Conventional Fork","Twin Shock Aborber, Gas Filled With Canister",Yes,,LED,,65 kmph,110 Nm,,200 kg,,Digital,Tube,LED,Front :-100/90-17	Rear :-100/90-17,,25 L,,"Front :-431.8 mm,Rear :-431.8 mm",1350 mm,Spoke,700 mm
49,Komaki XGT X4,Rs.1.02 - 1.24 Lakh*,102000.0,124000.0,,,,,,"Bluetooth Speaker, Anti-theft lock, Emergency Repair Switch, BIS Wheels Enhance Stability, Multiple Sensor, Self Diagnosis, Wireless Updatable Features, VIVID Smart Dash, Smart BMS Active Balanceing, Advance Lithium Technology","Bluetooth Speaker, Anti-theft lock, Emergency Repair Switch, BIS Wheels Enhance Stability, Multiple Sensor, Self Diagnosis, Wireless Updatable Features, VIVID Smart Dash, Smart BMS Active Balanceing, Advance Lithium Technology",Yes,,,,72 V / 31 Ah,Lithium Ion,,,,Electric Bikes,,,,,Synchronized Braking System,,,,,,,,,,,,,180-220km/charge,,,,,,,Yes,,,,,,,,,,,,,,,,,,LED,,,Digital,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,,,,,LED,,,,,,Automatic,Digital,,LED,,,Yes,,,,,
50,Tunwal TEM G33,"Rs.92,000*",92000.0,92000.0,,,,,,,,,,,,"60 V, 20 Ah",,,,,Electric Bikes,,Disc,Disc,,,,,,,,,,,,,,,,,,,,,,,,Hub Motor,,,,,,,,High Rigid Tubular Frame,,,,,,,,LED,,,,,,,,,,,,,,,BLDC,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,Telescopic,,,,LED,,,,,,,Digital,,LED,Front :-3.50-10	Rear :-3.50-10,,,,"Front :-254 mm,Rear :-254 mm",,Alloy,
51,iVOOMi Eco,"Rs.71,999 - 81,999*",71999.0,81999.0,,,,,,"Parking Switch, Keyless Operation","Parking Switch, Keyless Operation",,,Yes,,60 V / 35 Ah,Lithium Ion,,,,Electric Bikes,,Disc,Drum,,,,,,,,,,,,,2.5-3 hours,,75-90 km/charge,,,,,,,Yes,,Hub Motor,,,,,,,,,180 mm,,,,,14 Degree,160 mm,LED,1330 mm,,Digital,,70 kg,,,1830 mm,150 kg,,,,IP67,250,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,770 mm,,Single,,Digital,Push Button Start,,Telescopic,Spring Loaded Telescopic,Yes,,LED,,25 kmph,,,,,Digital,Tubeless,Bulb,Front :-3.00-10	Rear :-3.00-10,Yes,,,"Front :-254 mm,Rear :-254 mm",1320 mm,Alloy,750 mm
52,Trinity Motors Rafiki,"Rs.69,999 - 76,999*",69999.0,76999.0,,,,,,"Controller - 12 Tube Waterproof Sine Wave Controller, One key repair","Controller - 12 Tube Waterproof Sine Wave Controller, One key repair",,,,,48 V / 30 Ah,Lithium-Ion,,,,Electric Bikes,,Disc,Disc,,,,,,,48 V 10 AMP,,,,,,,,75 km/charge,,,,,,,Yes,,,,,,,,,,,,,,,,10 Degree,170 mm,LED,1150 mm,,Digital,,58.9 kg,,,1700 mm,200 kg,,,,,,Brand Motor,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,Single,,,,,Hydraulic Shockers,Double Dual Tube Hydraulic Shockers,,,LED,,25 kmph,,,,Automatic,,Tubeless,LED,Front :-90/100-10	Rear :-90/100-10,,,,"Front :-254 mm,Rear :-254 mm",,Alloy,600 mm
53,Wroley Platina,"Rs.73,700*",73700.0,73700.0,,,,,,,,Yes,,Yes,,60 V/30 Ah,Lithium-ion,,,Yes,Electric Bikes,,Disc,Drum,,,,,,,,,,,Yes,,,,90 km/charge,,,,,Yes,,,,Hub Motor,,,,,,,,,,,Digital,,,15 Degree,140 mm,LED,1100 mm,,,,,,,1800 mm,200 kg,,,,,250,BLDC,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,640 mm,,Single,,Digital,Self Start Only,,Hydraulic damping,,,,LED,,25 kmph,,,,Automatic,Digital,Tubeless,LED,"Front :-90/100-10,	Rear :-90/100-10",,Yes,,"Front :-254 mm,Rear :-254 mm",,Alloy,720 mm
54,BGauss D15,"Rs.99,999 - 1.13 Lakh*",99999.0,112999.99999999999,,7s,,,,"(Riding Modes - Eco, Sports, Reverse), Battery Weight - 20 Kgs, Charger Authentication, Seat Length - 770 mm, Drive Switch, Handle Bar Lock, Buzzer, Short Circuit Protection, Communication Protocol, Riding Efficiency (Mileage), Battery Pairing with Vehicle, Temperature Based Performance Derating, Motor to Function while Braking, Limphome on Fault Detection, Roll Over Sensor, Secondary Battery, VCU, GSM Module, Vehicle On/Off from App, Find My Vehicle with Buzzer, Health Check of the Vehicle, State of Charge on App, Range in kms on App, Notification for the Battery remaining at 20%, Remote Immobilzation, Firmware Update via App (Bluetooth), Regenerating Braking","(Riding Modes - Eco, Sports, Reverse), Battery Weight - 20 Kgs, Charger Authentication, Seat Length - 770 mm, Drive Switch, Handle Bar Lock, Buzzer, Short Circuit Protection, Communication Protocol, Riding Efficiency (Mileage), Battery Pairing with Vehicle, Temperature Based Performance Derating, Motor to Function while Braking, Limphome on Fault Detection, Roll Over Sensor, Secondary Battery, VCU, GSM Module, Vehicle On/Off from App, Find My Vehicle with Buzzer, Health Check of the Vehicle, State of Charge on App, Range in kms on App, Notification for the Battery remaining at 20%, Remote Immobilzation, Firmware Update via App (Bluetooth), Regenerating Braking",,,Yes,,3.2 kWh,"Primery - Lithium Ion, Secondary - VRLA",,Bluetooth,,Electric Bikes,,Drum,Drum,,Combine Braking System,Yes,,,,,,,,Yes,,5 hours 30 minutes,4 hours,115 km/charge,,1500 W,1500 W,,,Yes,,Yes,Hub Motor,,Yes,,,,Yes,1 hours 30 minutes,Tubular Chassis,,,,,Yes,10°,175 mm,LED,1200 mm,,,,109 kg,,,1868 mm,,Yes,110 Nm,Yes,IP67,3100,BLDC,,,,2,Yes,,,,,,Yes,,,,,,,,,,,,Yes,,,Yes,,765 mm,,Single,,Digital,Push Button Start,,Hydraulic Telescopic,Double Hydraulic spring - 3 Step Adjustable,Yes,,LED,,60 kmph,,,,,Digital,Tubeless,LED,"Front :-2.50-16,	Rear :-2.75-16",Yes,,IP 67,"Front :-406.4 mm,Rear :-406.4 mm",1260 mm,Aluminium Alloy,977 mm
55,Evolet Pony,"Rs.57,999*",57999.0,57999.0,,,,,,E-ABS,E-ABS,,,,,1.4 Kwh,,3 Years,,,Electric Bikes,,Disc,Disc,,,,,,,,,,,Yes,,,,80 km/charge,,,,,,,,,Hub Motor,,Yes,,,,,,,,,,,,9°,160 mm,LED,,,,,76 kg,,Yes,1750 mm,150 kg,Yes,,Yes,,250,BLDC,1 Year 6 Months,,,,,Digital,,,Yes,,Yes,,,,,,,,,,,,,,,,,695 mm,,Single,,Digital,Self Start Only,,Hydraulic Telescopic,Dauble shocker whith dual tube technology,,,LED,,25 kmph,,,,,Digital,Tubeless,LED,"Front :-90/100-10,	Rear :-90/100-10",Yes,,,"Front :-254 mm,Rear :-254 mm",,Alloy,450 mm
56,Ola S1 Air,"Rs.84,999*",84999.0,84999.0,,4.3s,,,,"Drive Modes - Normal | Sports | Eco, LTE Connectivity","Drive Modes - Normal | Sports | Eco, LTE Connectivity",34 L,,Yes,,2.5 kWh,,,"Bluetooth,WiFi",,Electric Bikes,Yes,Drum,Drum,,Combine Braking System,Yes,,,,,,,,Yes,,,,101 km/charge,Yes,4.5 kw,4.5 kw,,,,,,Belt Drive,,,,,Yes,Yes,,Tubular,,,,,Yes,15°,165 mm,LED,1160 mm,,Digital,Yes,99 kg,,,1859 mm,,Yes,,Yes,,,Mid Drive IPM,,Yes,Yes,,Yes,,MoveOS 2,,,,Yes,,,,,,,76 km/charge,,,,,,,Yes,Yes,,792 mm,high,Single,,Digital,"Remote Start,Push Button Start",,Telescopic Fork,Twin Suspension,,,LED,,90 kmph,,,,Automatic,Digital,Tubeless,LED,"Front :- 110/70-12, 	Rear :- 110/70-12",,34 L,IP67,"Front :-304.8 mm,Rear :-304.8 mm",1359 mm,Aluminium Alloy,712 mm
57,Jitendra JET 320,"Rs.73,480 - 77,060*",73480.0,77060.0,,,,,,Find my Scooter,Find my Scooter,,,Yes,,1.56 Kwh,Lithium Ion,2+1 Years,,,Electric Bikes,,Disc,Drum,,,,,,Yes,,,,,Yes,,,,60-70 km/charge,,,,,,Yes,Yes,,Hub Motor,,,,,,,,Tubular,,,,,,3-4 Degree,180 mm,LED,1130 mm,,,,67 kg,Yes,,1740 mm,150 kg,,,,IP 65,250,BLDC,3 Years,,,1,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,,,,Single,,Digital,"Remote Start,Push Button Start",,Telescopic,Spring loaded Hydraulic,Yes,,LED,,25 kmph,,,150 kg,Automatic,Digital,Tubeless,LED,Front :-90/90-10	Rear :-90/90-10,,,,"Front :-254 mm,Rear :-254 mm",1295 mm,Alloy,710 mm
58,Trinity Motors Rafiki ZL3,"Rs.84,855 - 91,111*",84855.0,91111.0,,,,,,,,Yes,,,,,,,,,Electric Bikes,Yes,Disc,Drum,,,,,,,,,,,,,,,,,,,,,,Yes,,Belt Drive,,,,,,,,,,,,,,,,LED,,,Digital,,,,,,,Yes,,,,1000,,,,,,,Digital,,,,Yes,Yes,,,,,,,,,,,,,,,,,,high,Single,,Digital,Push Button Start,,,,,,LED,,50 kmph,,,,Automatic,Digital,Tubeless,LED,,,Yes,,,,,
59,Gemopai Miso,"Rs.44,000*",44000.0,44000.0,,,,,,"Charging Power - 54.6 V 4 Amp, Rear Carrier Weight Capacity 60 -70 kg, Battery Charging 90% in 2 hrs","Charging Power - 54.6 V 4 Amp, Rear Carrier Weight Capacity 60 -70 kg, Battery Charging 90% in 2 hrs",,,,,48 V/17.5 Ah,Lithium Ion,,,,"Electric Bikes, Moped Bikes",,Drum,Drum,,,,,,,,,,,Yes,,,,60-75 km/charge,,,,,,,Yes,,,,,,,,,,,,,,,,18°,,LED,1060 mm,,Digital,,45 kg,,,1500 mm,120 kg,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,,,,,LED,,25-35 kmph,,,,Automatic,Digital,Tubeless,LED,,,,,"Front :-406.4 mm,Rear :-406.4 mm",,Alloy,620 mm
60,Tunwal Storm ZX Advance 1,Rs.1.15 Lakh*,114999.99999999999,114999.99999999999,,,,,,3 Wheeler,3 Wheeler,,,,,60 V/26 Ah,Lithium Ion,,,,Electric Bikes,,Disc,Drum,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,Hub Motor,,Yes,,,,,,High Rigid Tubular Frame,,,,,,,,LED,,,Digital,,,,,,,,,,,,BLDC,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,Hydrolic Suspention,,,,LED,,,,,,,Digital,Tubeless,LED,Front :-3.00-10	Rear :-3.00-10,,,,"Front :-254 mm,Rear :-254 mm",,Alloy,
61,EVeium COSMO,Rs.1.44 Lakh*,144000.0,144000.0,,,,,,"Riding Modes - Eco | Normal | Sport, Keyless Start, Find my Vehicle, Real-time Tracking, Over-speed Alert","Riding Modes - Eco | Normal | Sport, Keyless Start, Find my Vehicle, Real-time Tracking, Over-speed Alert",,,Yes,,"72 V, 30 Ah",Lithium Ion,,,,Electric Bikes,,Disc,Disc,,,,,,,,,,,,,,,80 km/charge,,,,,,,,,Hub Motor,,Yes,,,,,,,,,,,Yes,,,LED,1150 mm,,,,102 kg,,,1880 mm,150 kg,,,Yes,,2000,BLDC,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Single,,Digital,"Remote Start,Push Button Start",,,,,,LED,,65 kmph,,,,,Digital,,LED,Front :-90/90-12 	Rear :-90/90-12,,,,"Front :-304.8 mm,Rear :-304.8 mm",1400 mm,Alloy,680 mm
62,BGauss B8,"Rs.84,699 - 89,991*",84699.0,89991.0,,,,,,"Mode 1 - 36 km/h, Mode 2 - 42 km/h, Mode 3 - 50 km/h, Reverse Mode - 2 km/h, Charger Rating - 10 Amps","Mode 1 - 36 km/h, Mode 2 - 42 km/h, Mode 3 - 50 km/h, Reverse Mode - 2 km/h, Charger Rating - 10 Amps",,,,,1.73 kwh,Lithium Ion,,,,Electric Bikes,,,,15.27 mm,,,,,,,,,,,,3 Hours 15 Minutes,2 Hours 45 Minutes,70 km/charge,Yes,1800 W,1800 W,,,Yes,Yes,,Hub Motor,,,,,,,,,,,,,,11 Degree,,LED,,,Digital,,,,,,130 kg,Yes,94.6 Nm,,IP 67,1900,BLDC,,,,,,Digital,,,,,,,,,,,77 km,,,,,,,17 Kg,Yes,,,,,Single,,Digital,"Remote Start,Push Button Start",,,,Yes,,LED,,50 kmph,,,,Automatic,Digital,Tubeless,LED,,Yes,,IP 65,,,,
63,EVeium COMET,Rs.1.92 Lakh*,192000.0,192000.0,,,,,,"Riding Modes - Eco | Normal | Sport, Keyless Start, Find my Vehicle, Real-time Tracking, Over-speed Alert","Riding Modes - Eco | Normal | Sport, Keyless Start, Find my Vehicle, Real-time Tracking, Over-speed Alert",Yes,,Yes,,"72 V, 50 Ah",Lithium Ion,,,,Electric Bikes,,Disc,Disc,,,,,,,,,,,,,,,150 km/charge,,,,,,,Yes,,Hub Motor,,Yes,,,,,,,,,,,Yes,,,LED,1140 mm,,,,115 kg,,,1901 mm,150 kg,,,Yes,,3000,BLDC,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,Single,,Digital,"Remote Start,Push Button Start",,,,,,LED,,85 kmph,,,,,Digital,Tubeless,LED,Front :-90/90-12 	Rear :-90/90-12,,Yes,,"Front :-304.8 mm,Rear :-304.8 mm",1325 mm,Alloy,680 mm
